Dates,ACB,FPT,HPG
20190906,9375.251,28985.507,10161.443
20190909,9375.251,29478.644,10066.477
20190910,9289.632,29588.23,10113.96
20190911,9332.441,29643.023,10470.085
20190912,9503.679,30958.056,10707.502
20190913,9674.916,31122.435,10731.244
20190916,9589.298,31615.572,10754.986
20190917,9546.488,31560.779,10778.727
20190918,9589.298,30903.263,10921.178
20190919,9888.963,31670.365,10897.436
20190920,9931.773,31889.537,10754.986
20190923,9974.582,30958.056,10446.344
20190924,9931.773,30793.677,10517.569
20190925,9846.154,31451.193,10398.86
20190926,9974.582,31615.572,10565.052
20190927,9931.773,32053.916,10517.569
20190930,10017.391,31615.572,10422.602
20191001,10145.819,32053.916,10398.86
20191002,10103.01,31341.607,10327.635
20191003,10103.01,31341.607,10232.669
20191004,10103.01,31122.435,10137.702
20191007,9931.773,30410.126,10113.96
20191008,9974.582,30738.884,10398.86
20191009,10145.819,30903.263,10398.86
20191010,10274.247,30903.263,10208.927
20191011,10274.247,30958.056,10208.927
20191014,10488.294,31615.572,10185.185
20191015,10445.485,31451.193,10137.702
20191016,10445.485,31505.986,10113.96
20191017,10445.485,31067.642,10161.443
20191018,10317.057,31286.814,10161.443
20191021,10017.391,30958.056,10066.477
20191022,10060.201,30848.47,10256.41
20191023,10060.201,30903.263,10375.119
20191024,10103.01,31889.537,10446.344
20191025,10103.01,31779.951,10351.377
20191028,10145.819,31834.744,10541.311
20191029,10145.819,31725.158,10541.311
20191030,10402.676,31670.365,10446.344
20191031,10317.057,31725.158,10351.377
20191101,10359.866,32053.916,10398.86
20191104,10531.104,32821.019,10327.635
20191105,10531.104,32766.226,10398.86
20191106,10531.104,32601.847,10446.344
20191107,10531.104,32601.847,10778.727
20191108,10616.722,32656.64,10778.727
20191111,10573.913,32875.812,10826.211
20191112,10573.913,33423.742,10921.178
20191113,10702.341,33149.777,10754.986
20191114,10488.294,31944.33,10754.986
20191115,10445.485,32108.709,10754.986
20191118,10317.057,31505.986,10873.694
20191119,10359.866,31944.33,10826.211
20191120,10231.438,31122.435,10636.277
20191121,10274.247,30684.091,10446.344
20191122,9931.773,30684.091,10493.827
20191125,10017.391,31012.849,10565.052
20191126,10103.01,31286.814,10754.986
20191127,9931.773,31232.021,10731.244
20191128,9803.344,30684.091,10731.244
20191129,9888.963,30903.263,10849.953
20191202,9674.916,29916.989,10897.436
20191203,9674.916,29862.196,11134.853
20191204,9888.963,30355.333,11134.853
20191205,9846.154,30081.368,10968.661
20191206,9846.154,30136.161,11324.786
20191209,9803.344,30300.54,11490.978
20191210,9760.535,30410.126,11585.945
20191211,9803.344,30958.056,11585.945
20191212,9846.154,31232.021,11490.978
20191213,9931.773,31286.814,11301.045
20191216,9846.154,30958.056,11277.303
20191217,9760.535,30355.333,10992.403
20191218,9632.107,30410.126,10707.502
20191219,9632.107,30574.505,10826.211
20191220,9717.726,30958.056,10921.178
20191223,9760.535,30738.884,10944.919
20191224,9717.726,30903.263,11016.144
20191225,9803.344,31505.986,10992.403
20191226,9674.916,31451.193,10921.178
20191227,9717.726,31560.779,11182.336
20191230,9717.726,32108.709,11229.82
20191231,9760.535,31944.33,11158.594
20200102,9846.154,32108.709,11396.011
20200103,9846.154,31560.779,11467.236
20200106,9632.107,31232.021,11396.011
20200107,9632.107,31834.744,11253.561
20200108,9460.87,31122.435,11134.853
20200109,9589.298,31560.779,11396.011
20200110,9717.726,31505.986,11490.978
20200113,9803.344,31286.814,11514.72
20200114,10060.201,31232.021,11870.845
20200115,9974.582,31232.021,11942.07
20200116,10231.438,31779.951,12013.295
20200117,10188.629,31560.779,11870.845
20200120,10402.676,31451.193,12108.262
20200121,10488.294,30410.126,12274.454
20200122,10488.294,30958.056,12488.129
20200130,10103.01,29971.782,12013.295
20200131,9846.154,28492.37,11443.495
20200203,9674.916,28218.405,11657.17
20200204,9931.773,28382.784,11680.912
20200205,9846.154,28492.37,11609.687
20200206,10274.247,29369.058,11965.812
20200207,10188.629,29204.679,11562.203
20200210,10103.01,28821.128,11562.203
20200211,10145.819,29369.058,11206.078
20200212,10959.197,29643.023,11301.045
20200213,10916.388,29752.61,11253.561
20200214,11301.672,29862.196,11253.561
20200217,11301.672,29697.816,11277.303
20200218,11387.291,30684.091,11063.628
20200219,11258.863,30519.712,11039.886
20200220,11301.672,30574.505,11277.303
20200221,11002.007,29971.782,11182.336
20200224,10274.247,28766.335,10778.727
20200225,10745.151,29588.23,10968.661
20200226,10531.104,30136.161,10802.469
